Date,Confirmed,Deaths,Recovered,Active,NewConfirmed,NewDeaths,NewRecovered
2020-01-22,557,17,30,0,0.0,0.0,0.0
2020-01-23,1097,34,60,0,0.0,0.0,0.0
2020-01-24,941,26,39,0,0.0,0.0,0.0
2020-01-25,1434,42,42,0,0.0,0.0,0.0
2020-01-26,2116,56,56,0,0.0,0.0,0.0
2020-01-27,2925,82,65,0,0.0,0.0,0.0
2020-01-28,5576,131,108,0,0.0,0.0,0.0
2020-01-29,6160,133,127,0,0.0,0.0,0.0
2020-01-30,8228,172,145,0,0.0,0.0,0.0
2020-01-31,9918,214,225,0,0.0,0.0,0.0
2020-02-01,12030,260,287,0,0.0,0.0,0.0
2020-02-02,16779,364,476,0,0.0,0.0,0.0
2020-02-03,19873,428,627,0,0.0,0.0,0.0
2020-02-04,23882,494,857,0,0.0,0.0,0.0
2020-02-05,27624,566,1129,0,0.0,0.0,0.0
2020-02-06,30806,636,1492,0,0.0,0.0,0.0
2020-02-07,34380,721,2015,0,0.0,0.0,0.0
2020-02-08,37105,808,2615,0,0.0,0.0,0.0
2020-02-09,40135,908,3244,0,0.0,0.0,0.0
2020-02-10,42745,1015,3946,0,0.0,0.0,0.0
2020-02-11,44786,1115,4681,0,0.0,0.0,0.0
2020-02-12,45205,1120,5148,0,0.0,0.0,0.0
2020-02-13,60352,1373,6291,0,0.0,0.0,0.0
2020-02-14,66869,1525,8054,0,0.0,0.0,0.0
2020-02-15,69012,1668,9389,0,0.0,0.0,0.0
2020-02-16,71205,1772,10859,0,0.0,0.0,0.0
2020-02-17,73239,1870,12576,0,0.0,0.0,0.0
2020-02-18,75117,2009,14339,0,0.0,0.0,0.0
2020-02-19,75620,2124,16106,0,0.0,0.0,0.0
2020-02-20,76178,2249,18164,0,0.0,0.0,0.0
2020-02-21,76822,2253,18877,0,0.0,0.0,0.0
2020-02-22,78578,2461,22874,0,0.0,0.0,0.0
2020-02-23,78965,2472,23379,0,0.0,0.0,0.0
2020-02-24,79554,2632,25209,0,0.0,0.0,0.0
2020-02-25,80400,2711,27887,0,0.0,0.0,0.0
2020-02-26,81381,2773,30368,0,0.0,0.0,0.0
2020-02-27,82737,2817,33260,0,0.0,0.0,0.0
2020-02-28,84107,2875,36692,0,0.0,0.0,0.0
2020-02-29,85990,2945,39763,0,0.0,0.0,0.0
2020-03-01,88340,3000,42699,0,0.0,0.0,0.0
2020-03-02,90277,3090,45583,0,0.0,0.0,0.0
2020-03-03,92823,3164,48206,0,0.0,0.0,0.0
2020-03-04,95075,3259,51148,0,0.0,0.0,0.0
2020-03-05,97880,3354,53774,0,0.0,0.0,0.0
2020-03-06,101680,3468,55842,0,0.0,0.0,0.0
2020-03-07,105733,3572,58334,0,0.0,0.0,0.0
2020-03-08,109707,3814,60671,0,0.0,0.0,0.0
2020-03-09,113709,4018,62488,0,0.0,0.0,0.0
2020-03-10,118508,4281,64376,0,0.0,0.0,0.0
2020-03-11,125767,4640,66973,0,0.0,0.0,0.0
2020-03-12,128370,4761,68295,0,0.0,0.0,0.0
2020-03-13,145044,5458,70222,0,0.0,0.0,0.0
2020-03-14,155875,5884,72587,0,0.0,0.0,0.0
2020-03-15,167038,6546,75991,0,0.0,0.0,0.0
2020-03-16,181124,7258,78046,0,0.0,0.0,0.0
2020-03-17,196656,8093,80783,0,0.0,0.0,0.0
2020-03-18,214278,8994,83248,0,0.0,0.0,0.0
2020-03-19,241964,10146,84886,0,0.0,0.0,0.0
2020-03-20,271650,11669,87315,0,0.0,0.0,0.0
2020-03-21,304061,13425,91541,0,0.0,0.0,0.0
2020-03-22,338540,15225,97225,226599,-16306.0,-200.0,0.0
2020-03-23,378746,17284,100942,261429,47235.0,2598.0,5917.0
2020-03-24,417967,19595,107681,292363,13389.0,1505.0,4648.0
2020-03-25,468150,22490,113742,333529,37513.0,2650.0,5474.0
2020-03-26,529735,25583,122124,384803,43599.0,2828.0,8365.0
2020-03-27,593575,29086,130898,436766,46186.0,3130.0,8774.0
2020-03-28,663739,32917,139406,494794,48148.0,3319.0,8508.0
2020-03-29,720948,36555,149062,540466,40823.0,3253.0,9656.0
2020-03-30,783102,40756,164436,586879,41344.0,3701.0,15374.0
2020-03-31,859950,45715,178006,646596,50750.0,4093.0,13570.0
2020-04-01,938959,51643,193328,702438,50770.0,4616.0,15322.0
2020-04-02,1019743,57967,210514,760926,50777.0,5124.0,17186.0
2020-04-03,1103460,64230,226021,824481,51874.0,5088.0,15507.0
2020-04-04,1183807,70627,246372,884368,48376.0,5027.0,20351.0
2020-04-05,1254957,76117,260228,941107,44371.0,4250.0,13856.0
2020-04-06,1328035,82180,276860,993208,43216.0,4800.0,16632.0
2020-04-07,1401081,90121,300270,1038251,44602.0,5979.0,23410.0
2020-04-08,1486595,97210,329043,1090378,53088.0,5147.0,28773.0
2020-04-09,1569991,104929,354263,1144547,51506.0,5935.0,25220.0
2020-04-10,1663005,112425,376320,1212696,58651.0,5402.0,22057.0
2020-04-11,1741022,118952,402327,1261997,48857.0,4715.0,26007.0
2020-04-12,1839380,125387,421908,1337878,71468.0,4828.0,19581.0
